data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,1,1,N,Ship,London City (SS),Visual,47.61666667,-49.78333333,1905,1905,January,1/25/05,,Large,,,,,,3,,,,,,,,,,,,,,,,"NYMR: 26th, in an immense area of arctic floes 120 miles E of St. John's. HB 805 Feb 1: off St.John's 120 miles, saw heavy floes covering extensive areas & 3 large bergs"
IOT,1,2,2,N,Ship,Ethiopia (SS),Visual,48.83333333,-47.16666667,1905,1905,January,1/29/05,,Medium,,,,,1,,,,,,61,E,15,E,,,,,,,,"NYMR & HB 806 Feb 8: ~200' long, 50' high."
IOT,1,3,3,N,Ship,Unknown,Visual,48.26666667,-48.15,1905,1905,January,1/30/05,,Medium,,,,,1,,,,,,61,E,21,E,,,,,,,,"NYMR & HB 806 Feb 8: 200' long, 70' high and a large quantity of field ice."
IOT,1,283,283,N,Ship,Florence (SS),Visual,47.61666667,-45.5,1905,1905,February,2/17/05,,Large,,,,,,2,,,,,,,27,E,,,,,,,,HB 810 Mar 8: saw 2 large bergs ~90' high
IOT,1,285,285,N,Ship,Tolesby (SS),Visual,48.33333333,-45.83333333,1905,1905,February,2/21/05,,Medium,,,,,1,,,,,,85,E,15,E,,,,,,,,HB 812 Mar 22: saw a berg ~280' long & 50' high
IOT,1,284,284,N,Ship,Mannheim (SS),Visual,46.78333333,-46.83333333,1905,1905,March,3/2/05,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 811 Mar 15: saw several vergs surrounded by pack & field ice which extended northward as far as dould be seen
IOT,1,294,294,N,Ship,Coronation (SS),Visual,48.75,-45.33333333,1905,1905,March,3/5/05,,Small,,,,3,,,,,,,,,,,,,,,,,,HB 813 Mar 29: passed 3 small bergs & later saw several small ones
IOT,1,289,289,N,Ship,Coronation (SS),Visual,48,-47.61666667,1905,1905,March,3/6/05,,Large,,,,,,1,,,,,,,,,,,,,,,,"HB 813 Mar 29: passed a large berg & entered thin & broken field ice & steamed through it until Mar 6, C.Race bearing S 70°W, 20 miles distant"
IOT,1,337,337,N,Ship,Malin (SS),Visual,46.58333333,-45.5,1905,1905,March,3/10/05,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 814 Apr 5
IOT,1,338,338,N,Ship,Malin (SS),Visual,47.2,-44,1905,1905,March,3/10/05,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 814 Apr 5
