data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments,
IOT,1,258.2,258.2,N,Ship,Arkansas (SS),Visual,43.95,-46.36666667,1909,1909,March,3/11/08,,Very large,,,,,,,1,,,,61,E,91,E,,,,,,,,HB 1021 Mar 24: passed 3 bergs one of which was 300' high & 200' long,
IOT,1,235,235,N,Ship,Oceano (SS),Visual,49.61666667,-49,1909,1909,February,2/15/09,,Large,,,,,,x,,,,,,,,,,,,,,,,"HB 1019 Mar 10: encountered heavy field ice & saw numerous large bergs. Steered southward & eastward, clearing the ice in 47.20N 46.45W",
IOT,1,234,234,N,Ship,Oscar II (SS),Visual,47.83333333,-45.16666667,1909,1909,February,2/20/09,,Small,,,,1,,,,,,,46,E,15,E,,,,,,,,HB 1018 Mar 3: passed a berg ~150' long & 50' high,
IOT,1,1.1,1.1,N,Ship,Caledonia (SS),Visual,45.66666667,-48.1,1909,1909,February,2/25/09,,Large,,,,,,1,,,,,,,,,,,,,,,,NYMR: While pasing through a quantity of field ice. HB 1019 Mar 10: passed through a quantity f field ice & close to 1 large & 2 small bergs,
IOT,1,1.2,1.2,N,Ship,Caledonia (SS),Visual,45.66666667,-48.1,1909,1909,February,2/25/09,,Small,,,,2,,,,,,,,,,,,,,,,,,NYMR: While pasing through a quantity of field ice. HB 1019 Mar 10: passed through a quantity f field ice & close to 1 large & 2 small bergs,
IOT,1,249.01,249.01,N,Ship,Lake Manitoba (SS),Visual,47.05,-45.91666667,1909,1909,February,2/25/09,,Small,,,,x,,,,,,,,,,,,,,,,,,HB 1020 Mar 17: encountered loose field ice & small bergs which was met continuously,
IOT,0,249.02,249.02,N,Ship,Lake Manitoba (SS),Visual,45.16666667,-47.9,1909,1909,February,2/25/09,,Small,,,,,,,,,,,,,,,,,,,,,,HB 1020 Mar 17: encountered loose field ice & small bergs which was met continuously,
IOT,1,263,263,N,Ship,Pennoil (SS),Visual,45.41666667,-48.71666667,1909,1909,February,2/25/09,,Very large,,,,,,,60,,,,,,,,,,,,,,,HB 1022 Mar 31: steamed for 6 hours through large fields of drift & pack ice & counted over 60 very large bergs,
IOT,1,236.11,236.11,N,Ship,Rotterdam (SS),Visual,44.66666667,-48.6,1909,1909,February,2/27/09,,Medium,,,,,3,,,,,,,,,,,,,,,,,HB 1019 Mar 10: passed 3 medium sized bergs & saw a large field of pack ice & several large pieces of ice,
IOT,0,236.12,236.12,N,Ship,Rotterdam (SS),Visual,44.5,-49.1,1909,1909,February,2/27/09,,Medium,,,,,,,,,,,,,,,,,,,,,,HB 1019 Mar 10: passed 3 medium sized bergs & saw a large field of pack ice & several large pieces of ice,
IOT,1,236.21,236.21,N,Ship,Rotterdam (SS),Visual,44.66666667,-48.6,1909,1909,February,2/27/09,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1019 Mar 10: passed 3 medium sized bergs & saw a large field of pack ice & several large pieces of ice,
IOT,0,236.22,236.22,N,Ship,Rotterdam (SS),Visual,44.5,-49.1,1909,1909,February,2/27/09,,Growler,,,,,,,,,,,,,,,,,,,,,,HB 1019 Mar 10: passed 3 medium sized bergs & saw a large field of pack ice & several large pieces of ice,
IOT,1,237,237,N,Ship,Monmouth (SS),Visual,45.33333333,-47.78333333,1909,1909,February,2/27/09,,Small,,,,2,,,,,,,,,,,,,,,,,,HB 1019 Mar 10: passed 2 small low lying bergs,
IOT,1,238.01,238.01,N,Ship,Monmouth (SS),Visual,45.5,-47.83333333,1909,1909,February,2/27/09,,Berg,40,,,,,,,,,,,,,,,,,,,,,"HB 1019 Mar 10: met field ice & ran along the edge of the field to its extemity, sighting in the field ~40 large & small bergs",
