data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments,,,
IOT,1,24,24,N,Ship,Unknown,Visual,49.25,-50.05,1918,1918,March,3/1/18,,Small,,,,x,,,,,,,,,,,,,,,,,,HB 1498 May 15: an ice field & small bergs,,,
IOT,1,1.01,1.01,N,Ship,Unknown,Visual,45,-47,1918,1918,March,3/13/18,,Large,,,,,,x,,,,,,,,,,,,,,,,NYMR and HB 1490 Mar 20,,,
IOT,0,1.02,1.02,N,Ship,Unknown,Visual,47,-47,1918,1918,March,3/13/18,,Large,,,,,,,,,,,,,,,,,,,,,,NYMR and HB 1490 Mar 20,,,
IOT,1,2,2,N,Ship,Unknown,Visual,47.18333333,-43.18333333,1918,1918,March,3/20/18,,Medium,,,,,1,,,,,,,,,,,,,,,,,NYMR and HB 1492 Apr 3. HB 1496 May 6,,,
IOT,1,22,22,N,Ship,Unknown,Visual,47.18333333,-43.28333333,1918,1918,March,3/20/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1496 May 6 [this could be a resight or even same report as #2],,,
IOT,1,3.01,3.01,N,Ship,Unknown,Visual,47.5,-47,1918,1918,March,3/29/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,NYMR and HB 1494 Apr 17,,,
IOT,0,3.02,3.02,N,Ship,Unknown,Visual,48.5,-47,1918,1918,March,3/29/18,,Berg,,,,,,,,,,,,,,,,,,,,,,NYMR and HB 1494 Apr 17,,,
IOT,1,4,4,N,Ship,Unknown,Visual,43.23333333,-49.41666667,1918,1918,April,4/20/18,,Ice Island,,,,,,,,2,,,926,E,76,E,,,,,,,,NYMR & HB 1495 Apr 7: steamed between 2 bergs ~250' high and ½ mile long [though NYMR reports them as 2 miles long],,,
IOT,1,23,23,N,Ship,Unknown,Visual,43.2,-49.5,1918,1918,April,4/20/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1497 May 8 ,,,
IOT,1,14,14,N,Ship,Unknown,Visual,43.71666667,-59.33333333,1918,1918,April,4/21/18,,Berg,2,,,,,,,,,,,,,,,,,,,,,HB 1497 May 8 [likely some form of sea ice],,,
IOT,1,72,72,N,Ship,Unknown,Visual,48.26666667,-49.5,1918,1918,April,4/24/18,,Ice Island,,,,,,,,1,,,610,E,30,E,,,,,,,,HB 1503 Jun 19: a berg ~100' high & 2000' long,,,
IOT,1,5.1,5.1,N,Ship,Unknown,Visual,40.71666667,-47.66666667,1918,1918,April,4/25/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1499 May 22: Berg and some growlers.,,,
IOT,1,5.2,5.2,N,Ship,Unknown,Visual,40.71666667,-47.66666667,1918,1918,April,4/25/18,,Growler,,x,,,,,,,,,,,,,,,,,,,,NYMR & HB 1499 May 22: Berg and some growlers.,,,
IOT,1,6.01,6.01,N,Ship,Unknown,Visual,45,-47,1918,1918,April,4/28/18,,Berg,4,,,,,,,,,,,,,,,,,,,,, NYMR and HB 1497 May 8: low lying bergs,,,
IOT,0,6.02,6.02,N,Ship,Unknown,Visual,43.91666667,-48,1918,1918,April,4/28/18,,Berg,,,,,,,,,,,,,,,,,,,,,, NYMR and HB 1497 May 8: low lying bergs,,,
IOT,1,25.1,25.1,N,Ship,Unknown,Visual,43,-47.96666667,1918,1918,April,4/28/18,,Small,,,,x,,,,,,,,,,,,,,,,,,HB 1498 May 15,,,
IOT,1,25.2,25.2,N,Ship,Unknown,Visual,43,-47.96666667,1918,1918,April,4/28/18,,Growler,,2,,,,,,,,,,,,,,,,,,,,HB 1498 May 15,,,
IOT,1,26,26,N,Ship,Unknown,Visual,44.83333333,-47.66666667,1918,1918,April,4/28/18,,Berg,7,,,,,,,,,,,,,,,,,,,,,HB 1498 May 15,,,
