data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,2.01,2.01,N,Unknown,Unknown,Visual,61.03333333,-48.55,1943,1943,January,1/26/43,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Scattered to 15 miles off coast
IOT,0,2.02,2.02,N,Unknown,Unknown,Visual,60.66666667,-48.33333333,1943,1943,January,1/26/43,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP: Scattered to 15 miles off coast
IOT,0,2.03,2.03,N,Unknown,Unknown,Visual,60.61666667,-46.63333333,1943,1943,January,1/26/43,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP: Scattered to 15 miles off coast
IOT,1,3.01,3.01,N,Unknown,Unknown,Visual,60.61666667,-46.63333333,1943,1943,January,1/28/43,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Scattered to 15 miles off coast
IOT,0,3.02,3.02,N,Unknown,Unknown,Visual,60.66666667,-48.33333333,1943,1943,January,1/28/43,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP: Scattered to 15 miles off coast
IOT,0,3.03,3.03,N,Unknown,Unknown,Visual,61.03333333,-48.55,1943,1943,January,1/28/43,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP: Scattered to 15 miles off coast
IOT,1,4,4,N,Unknown,Unknown,Visual,49.73333333,-54.76666667,1943,1943,February,2/11/43,,Very Large,,,,,,,1,,,,,,,,,,,,,,,IIP: Off Twillingate
IOT,1,5,5,N,Unknown,Unknown,Visual,51.95,-49.16666667,1943,1943,February,2/26/43,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,6,6,N,Unknown,Unknown,Visual,52.2,-52.08333333,1943,1943,March,3/3/43,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,7,7,N,Unknown,Unknown,Visual,49.65,-54.78333333,1943,1943,March,3/3/43,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,8,8,N,Unknown,Unknown,Visual,53.45,-51.11666667,1943,1943,March,3/3/43,,Berg,2,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,9,9,N,Unknown,Unknown,Visual,63.23333333,-40.95,1943,1943,March,3/6/43,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,10,10,N,Unknown,Unknown,Visual,51.63333333,-47.55,1943,1943,March,3/9/43,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,11,11,N,Unknown,Unknown,Visual,48.41666667,-50.58333333,1943,1943,March,3/9/43,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,12.01,12.01,N,Unknown,Unknown,Visual,53.83333333,-50,1943,1943,March,3/9/43,,Small,,,,x,,,,,,,,,,,,,,,,,,"IIP: Small, scattered"
IOT,0,12.02,12.02,N,Unknown,Unknown,Visual,51,-46,1943,1943,March,3/9/43,,Small,,,,,,,,,,,,,,,,,,,,,,"IIP: Small, scattered"
IOT,1,13.01,13.01,N,Unknown,Unknown,Visual,50.88333333,-49.08333333,1943,1943,March,3/10/43,,Berg,8,,,,,,,,,,,,,,,,,,,,,"IIP: Small, scattered"
IOT,0,13.02,13.02,N,Unknown,Unknown,Visual,51.48333333,-48.33333333,1943,1943,March,3/10/43,,Berg,,,,,,,,,,,,,,,,,,,,,,"IIP: Small, scattered"
IOT,1,14.11,14.11,N,Unknown,Unknown,Visual,53,-48,1943,1943,March,3/10/43,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: 12 bergs and growlers in vicinity
IOT,0,14.12,14.12,N,Unknown,Unknown,Visual,51.3,-48.18333333,1943,1943,March,3/10/43,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP: 12 bergs and growlers in vicinity
IOT,1,14.21,14.21,N,Unknown,Unknown,Visual,53,-48,1943,1943,March,3/10/43,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: 12 bergs and growlers in vicinity
IOT,0,14.22,14.22,N,Unknown,Unknown,Visual,51.3,-48.18333333,1943,1943,March,3/10/43,,Growler,,,,,,,,,,,,,,,,,,,,,,IIP: 12 bergs and growlers in vicinity
IOT,1,15,15,N,Unknown,Unknown,Visual,52.46666667,-48.25,1943,1943,March,3/10/43,,Berg,3,,,,,,,,,,,,,,,,,,,,,IIP: 3 within 10 miles of position given
IOT,1,16.1,16.1,N,Unknown,Unknown,Visual,50.95,-48.08333333,1943,1943,March,3/11/43,,Large,,,,,,x,,,,,,,,,,,,,,,,IIP: Several large bergs and growlers
IOT,1,16.2,16.2,N,Unknown,Unknown,Visual,50.95,-48.08333333,1943,1943,March,3/11/43,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Several large bergs and growlers
IOT,1,17,17,N,Unknown,Unknown,Visual,59.1,-38.06666667,1943,1943,March,3/11/43,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,18,18,N,Unknown,Unknown,Visual,50.73333333,-49.05,1943,1943,March,3/11/43,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,19,19,N,Unknown,Unknown,Visual,50.58333333,-49.25,1943,1943,March,3/11/43,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,20,20,N,Unknown,Unknown,Visual,50.58333333,-49.03333333,1943,1943,March,3/11/43,,Growler,,2,,,,,,,,,,,,,,,,,,,,IIP: 2 large growlers
IOT,1,22.11,22.11,N,Unknown,Unknown,Visual,58.6,-46.18333333,1943,1943,March,3/14/43,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Numerous bergs and growlers within 100 miles of coast
IOT,0,22.12,22.12,N,Unknown,Unknown,Visual,59.51666667,-48.4,1943,1943,March,3/14/43,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP: Numerous bergs and growlers within 100 miles of coast
IOT,1,22.21,22.21,N,Unknown,Unknown,Visual,58.6,-46.18333333,1943,1943,March,3/14/43,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Numerous bergs and growlers within 100 miles of coast
IOT,0,22.22,22.22,N,Unknown,Unknown,Visual,59.51666667,-48.4,1943,1943,March,3/14/43,,Growler,,,,,,,,,,,,,,,,,,,,,,IIP: Numerous bergs and growlers within 100 miles of coast
IOT,1,23,23,N,Unknown,Unknown,Visual,47.66666667,-49.08333333,1943,1943,March,3/15/43,,Large,,,,,,2,,,,,,,,,,,,,,,,IIP
IOT,1,24,24,N,Unknown,Unknown,Visual,49.16666667,-48.5,1943,1943,March,3/16/43,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,25,25,N,Unknown,Unknown,Visual,48.83333333,-48.15,1943,1943,March,3/16/43,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,26,26,N,Unknown,Unknown,Visual,55,-49.38333333,1943,1943,March,3/16/43,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
