data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,# Bergs,# Growlers,# Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,1,1,N,Miscellaneous,OSV Bravo,Unknown,56.45,-50.61666667,1955,1955,February,2/10/55,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,2.1,2.1,N,Miscellaneous,OSV Bravo,Unknown,56.48333333,-50.81666667,1955,1955,February,2/11/55,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,2.2,2.2,N,Miscellaneous,OSV Bravo,Unknown,56.48333333,-50.81666667,1955,1955,February,2/11/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,10,10,N,Aircraft,Ice Patrol,Visual,49.33333333,-51.38333333,1955,1955,March,3/4/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,11,11,N,Aircraft,Ice Patrol,Visual,49.53333333,-52.5,1955,1955,March,3/4/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,12,12,N,Aircraft,Ice Patrol,Visual,50.08333333,-52.08333333,1955,1955,March,3/4/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,13,13,N,Aircraft,Ice Patrol,Visual,50.35,-52.56666667,1955,1955,March,3/4/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,14,14,N,Aircraft,Ice Patrol,Visual,50.38333333,-52.55,1955,1955,March,3/4/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,27,27,N,Aircraft,Dutch Aircraft,Visual,54.33333333,-50.25,1955,1955,March,3/11/55,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,44.1,44.1,N,Ship,USCGC Bibb,Visual,51.06666667,-49.33333333,1955,1955,March,3/17/55,,Small,,,,2,,,,,,,,,,,,,,,,,,2 Small Bergs and many Growlers
IOT,1,44.2,44.2,N,Ship,USCGC Bibb,Visual,51.06666667,-49.33333333,1955,1955,March,3/17/55,,Growler,,x,,,,,,,,,,,,,,,,,,,,2 Small Bergs and many Growlers
IOT,1,45,45,N,Ship,USCGC Bibb,Visual,51.25,-49.13333333,1955,1955,March,3/17/55,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,50,50,N,Ship,Arctic Prowler,Visual,52.16666667,-54.58333333,1955,1955,March,3/18/55,,Berg,3,,,,,,,,,,,,,,,,,,,,,
IOT,1,52,52,N,Ship,Arctic Prowler,Visual,52.25,-54.28333333,1955,1955,March,3/19/55,,Berg,4,,,,,,,,,,,,,,,,,,,,,
IOT,1,59,59,N,Aircraft,Ice Patrol,Visual,51.33333333,-53.33333333,1955,1955,March,3/20/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,60,60,N,Aircraft,Ice Patrol,Visual,51.95,-52.15,1955,1955,March,3/20/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,61,61,N,Aircraft,Ice Patrol,Visual,52.58333333,-52.7,1955,1955,March,3/20/55,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,62,62,N,Aircraft,Ice Patrol,Visual,52.91666667,-52.51666667,1955,1955,March,3/20/55,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,63,63,N,Aircraft,Ice Patrol,Visual,53.06666667,-52.15,1955,1955,March,3/20/55,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,64,64,N,Aircraft,Ice Patrol,Visual,53.18333333,-52.06666667,1955,1955,March,3/20/55,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,65,65,N,Aircraft,Ice Patrol,Visual,50.66666667,-52.35,1955,1955,March,3/20/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,66,66,N,Aircraft,Ice Patrol,Visual,50.71666667,-53.33333333,1955,1955,March,3/20/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,67,67,N,Aircraft,Ice Patrol,Visual,51.25,-52.85,1955,1955,March,3/20/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,68,68,N,Aircraft,Ice Patrol,Visual,52.91666667,-52.41666667,1955,1955,March,3/20/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,71,71,N,Aircraft,BOAC,Visual,50.33333333,-48.7,1955,1955,March,3/21/55,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,73,73,N,Ship,USNS Sgt. Jonah E. Kelley,Visual,47.43333333,-52.58333333,1955,1955,March,3/22/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,78,78,N,Ship,Hydro,Visual,48.4,-51.9,1955,1955,March,3/23/55,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,79,79,N,Ship,Hydro,Visual,50.41666667,-52.91666667,1955,1955,March,3/23/55,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,80,80,N,Ship,Hydro,Visual,52.66666667,-53.26666667,1955,1955,March,3/23/55,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,89,89,N,Aircraft,Ice Patrol,Visual,47.91666667,-51.6,1955,1955,March,3/24/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,90,90,N,Aircraft,Ice Patrol,Visual,47.95,-52.28333333,1955,1955,March,3/24/55,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,91.1,91.1,N,Aircraft,TWA,Visual,50,-46.5,1955,1955,March,3/24/55,,Large,,,,,,1,,,,,,,,,,,,,,,,1 large and 1 small
IOT,1,91.2,91.2,N,Aircraft,TWA,Visual,50,-46.5,1955,1955,March,3/24/55,,Small,,,,1,,,,,,,,,,,,,,,,,,1 large and 1 small
IOT,1,92,92,N,Aircraft,MATS,Visual,50,-49.85,1955,1955,March,3/24/55,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,93,93,N,Aircraft,Ice Patrol,Visual,47.91666667,-52.23333333,1955,1955,March,3/24/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,94,94,N,Aircraft,Ice Patrol,Visual,48.03333333,-51.66666667,1955,1955,March,3/24/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,95,95,N,Aircraft,Ice Patrol,Visual,48.05,-51.88333333,1955,1955,March,3/24/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,96,96,N,Aircraft,Ice Patrol,Visual,48.23333333,-51.78333333,1955,1955,March,3/24/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,97,97,N,Aircraft,Ice Patrol,Visual,48.6,-51.75,1955,1955,March,3/24/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,98,98,N,Aircraft,Ice Patrol,Visual,48.7,-51.76666667,1955,1955,March,3/24/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,117,117,N,Ship,USNS Col. William J. O'Brien,Visual,47.56666667,-52.66666667,1955,1955,March,3/26/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,118,118,N,Miscellaneous,St. John's Radio,Unknown,47.56666667,-52.65,1955,1955,March,3/26/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,Large growler
IOT,1,124,90,Y,Ship,Sangara,Visual,47.58333333,-52.48333333,1955,1955,March,3/27/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,125,90,Y,Ship,Fort Hamilton,Visual,47.46666667,-52.56666667,1955,1955,March,3/27/55,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,126,126,N,Ship,Fort Hamilton,Visual,47.46666667,-52.56666667,1955,1955,March,3/27/55,,Growler,,x,,,,,,,,,,,,,,,,,,,,Several small growlers
IOT,0,126,126,N,Ship,Fort Hamilton,Visual,47.38333333,-52.56666667,1955,1955,March,3/27/55,,Growler,,,,,,,,,,,,,,,,,,,,,,
IOT,1,127.01,127.01,N,Ship,Sangara,Visual,47.51666667,-52.58333333,1955,1955,March,3/27/55,,Growler,,x,,,,,,,,,,,,,,,,,,,,Several growlers off Cape Spear
IOT,0,127.02,127.02,N,Ship,Sangara,Visual,47.51666667,-52.51666667,1955,1955,March,3/27/55,,Growler,,,,,,,,,,,,,,,,,,,,,,
IOT,1,136,136,N,Ship,USCGC Spencer,Other,50.28333333,-48,1955,1955,March,3/29/55,,Berg,1,,,,,,,,,,,,,,,,,,,,,"Sonar contact, probable berg"
IOT,1,137.1,137.1,N,Ship,Arctic Prowler,Visual,50.66666667,-54.58333333,1955,1955,March,3/29/55,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,137.2,137.2,N,Ship,Arctic Prowler,Visual,50.66666667,-54.58333333,1955,1955,March,3/29/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,138,138,N,Miscellaneous,St. John's Radio,Unknown,47.66666667,-52.46666667,1955,1955,March,3/29/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,141,90,Y,Ship,Caxton,Visual,47.21666667,-51.73333333,1955,1955,March,3/30/55,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,142,90,Y,Aircraft,Ice Patrol,Visual,47.23333333,-51.73333333,1955,1955,March,3/30/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,143,143,N,Aircraft,Ice Patrol,Visual,47.43333333,-52.63333333,1955,1955,March,3/30/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,144,144,N,Aircraft,Ice Patrol,Visual,47.78333333,-50.55,1955,1955,March,3/30/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,145,145,N,Aircraft,Ice Patrol,Visual,47.86666667,-52.2,1955,1955,March,3/30/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,146,146,N,Aircraft,Ice Patrol,Visual,47.91666667,-51.91666667,1955,1955,March,3/30/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,147,147,N,Aircraft,Ice Patrol,Visual,48.06666667,-51.88333333,1955,1955,March,3/30/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,148,148,N,Aircraft,Ice Patrol,Visual,48.13333333,-51.8,1955,1955,March,3/30/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,149,149,N,Aircraft,Ice Patrol,Visual,48.13333333,-52.1,1955,1955,March,3/30/55,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,150,150,N,Ship,Arctic Prowler,Visual,49.5,-53.08333333,1955,1955,March,3/30/55,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,151,151,N,Ship,Arctic Prowler,Visual,50.1,-53.85,1955,1955,March,3/30/55,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,152,152,N,Ship,Arctic Prowler,Visual,50.66666667,-54.58333333,1955,1955,March,3/30/55,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,153,153,N,Ship,Caxton,Visual,47.15,-51.45,1955,1955,March,3/30/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,Small growler
IOT,1,154,154,N,Ship,Caxton,Visual,47.18333333,-51.53333333,1955,1955,March,3/30/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,Small growler
IOT,1,155,155,N,Ship,Caxton,Visual,47.2,-51.46666667,1955,1955,March,3/30/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,Small growler
IOT,1,156,156,N,Aircraft,Ice Patrol,Visual,47.21666667,-51.53333333,1955,1955,March,3/30/55,,Growler,,1,,,,,,,,,,,,,,,,,,,,
