data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,# Bergs,# Growlers,Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,2,2,N,Ship,Capable,Visual,52.8,-55.06666667,1958,1958,January,1/25/58,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,3,3,N,Ship,La Bourdonnaise,Visual,54.9,-53.43333333,1958,1958,January,1/29/58,,Berg,3,,,,,,,,,,,,,,,,,,,,,
IOT,1,4,4,N,Ship,La Bourdonnaise,Visual,55.08333333,-55.1,1958,1958,January,1/29/58,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,6,6,N,Aircraft,Ice Patrol,Visual,51.96666667,-55.61666667,1958,1958,March,3/14/58,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,7,7,N,Aircraft,Ice Patrol,Visual,52.01666667,-55.66666667,1958,1958,March,3/14/58,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,8,8,N,Aircraft,Ice Patrol,Visual,52.16666667,-55.58333333,1958,1958,March,3/14/58,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,14.11,14.11,N,Aircraft,Ice Patrol,Visual,52.5,-55.83333333,1958,1958,March,3/18/58,,Berg,5,,,,,,,,,,,,,,,,,,,,,
IOT,0,14.12,14.12,N,Aircraft,Ice Patrol,Visual,53.5,-55.66666667,1958,1958,March,3/18/58,,Berg,,,,,,,,,,,,,,,,,,,,,,
IOT,0,14.13,14.13,N,Aircraft,Ice Patrol,Visual,53.5,-54.66666667,1958,1958,March,3/18/58,,Berg,,,,,,,,,,,,,,,,,,,,,,
IOT,0,14.14,14.14,N,Aircraft,Ice Patrol,Visual,52.5,-54.66666667,1958,1958,March,3/18/58,,Berg,,,,,,,,,,,,,,,,,,,,,,
IOT,1,14.21,14.21,N,Aircraft,Ice Patrol,Visual,52.5,-55.83333333,1958,1958,March,3/18/58,,Growler,,11,,,,,,,,,,,,,,,,,,,,
IOT,0,14.22,14.22,N,Aircraft,Ice Patrol,Visual,53.5,-55.66666667,1958,1958,March,3/18/58,,Growler,,,,,,,,,,,,,,,,,,,,,,
IOT,0,14.23,14.23,N,Aircraft,Ice Patrol,Visual,53.5,-54.66666667,1958,1958,March,3/18/58,,Growler,,,,,,,,,,,,,,,,,,,,,,
IOT,0,14.24,14.24,N,Aircraft,Ice Patrol,Visual,52.5,-54.66666667,1958,1958,March,3/18/58,,Growler,,,,,,,,,,,,,,,,,,,,,,
IOT,1,15,15,N,Aircraft,Ice Patrol,Visual,52.78333333,-51.91666667,1958,1958,March,3/18/58,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,20.01,20.01,N,Aircraft,Ice Patrol,Visual,51.25,-55.5,1958,1958,March,3/21/58,,Berg,5,,,,,,,,,,,,,,,,,,,,,"5 bergs, 5 possible bergs"
IOT,0,20.02,20.02,N,Aircraft,Ice Patrol,Visual,51.25,-53.5,1958,1958,March,3/21/58,,Berg,,,,,,,,,,,,,,,,,,,,,,
IOT,0,20.03,20.03,N,Aircraft,Ice Patrol,Visual,51.91666667,-53.5,1958,1958,March,3/21/58,,Berg,,,,,,,,,,,,,,,,,,,,,,
IOT,0,20.04,20.04,N,Aircraft,Ice Patrol,Visual,51.91666667,-55.5,1958,1958,March,3/21/58,,Berg,,,,,,,,,,,,,,,,,,,,,,
IOT,1,25.11,25.11,N,Aircraft,Ice Patrol,Visual,51.63333333,-55.36666667,1958,1958,March,3/27/58,,Berg,9,,,,,,,,,,,,,,,,,,,,,
IOT,0,25.12,25.12,N,Aircraft,Ice Patrol,Visual,50.83333333,-55.58333333,1958,1958,March,3/27/58,,Berg,,,,,,,,,,,,,,,,,,,,,,
IOT,1,25.21,25.21,N,Aircraft,Ice Patrol,Visual,51.63333333,-55.36666667,1958,1958,March,3/27/58,,Growler,,12,,,,,,,,,,,,,,,,,,,,
IOT,0,25.22,25.22,N,Aircraft,Ice Patrol,Visual,50.83333333,-55.58333333,1958,1958,March,3/27/58,,Growler,,,,,,,,,,,,,,,,,,,,,,
IOT,1,26,26,N,Aircraft,Ice Patrol,Visual,50.86666667,-50.86666667,1958,1958,March,3/27/58,,Growler,,1,,,,,,,,,,,,,,,,,,,,
