date,longitude,latitude,resight,size,source
01/14/1899,-48.78,46.22,0,LG,NOT IIP
01/01/1899,-44.28,47.43,0,LG,NOT IIP
01/12/1899,-44.03,47.52,0,LG,NOT IIP
01/14/1899,-43.57,47.32,0,SM,NOT IIP
01/27/1899,-3377361614009.4,209644062756.52,0,X,NOT IIP
01/29/1899,-46.03,47.8,0,LG,NOT IIP
01/29/1899,-46.43,47.58,0,SM,NOT IIP
01/27/1899,-48.12,48.02,0,BERG,NOT IIP
02/18/1899,-45.0,45.0,0,LG,NOT IIP
02/03/1899,-47.2,45.92,0,SM,NOT IIP
02/03/1899,-47.05,45.8,0,SM,NOT IIP
02/07/1899,-47.37,45.58,0,LG,NOT IIP
02/07/1899,-47.37,45.58,0,MED,NOT IIP
02/08/1899,-45.08,47.32,0,BERG,NOT IIP
02/08/1899,-47.03,45.08,0,BERG,NOT IIP
02/11/1899,-46.03,45.05,0,MED,NOT IIP
02/11/1899,-47.15,46.12,0,BERG,NOT IIP
02/09/1899,-47.05,47.08,0,BERG,NOT IIP
02/09/1899,-2012631721583.42,47.57,0,BERG,NOT IIP
02/16/1899,-47.02,46.03,0,BERG,NOT IIP
02/17/1899,-50.0,44.03,0,BERG,NOT IIP
02/18/1899,-48.57,49.0,0,BERG,NOT IIP
02/19/1899,-49.6,45.65,0,BERG,NOT IIP
02/19/1899,-48.07,48.0,0,BERG,NOT IIP
02/19/1899,-49.27,47.92,0,BERG,NOT IIP
02/20/1899,-48.82,44.93,0,SM,NOT IIP
02/20/1899,-48.82,44.1,0,SM,NOT IIP
02/22/1899,-48.88,43.75,0,LG,NOT IIP
01/29/1899,-46.08,47.05,0,MED,NOT IIP
01/29/1899,-46.75,47.25,0,MED,NOT IIP
01/29/1899,-46.08,47.05,0,BERG,NOT IIP
01/29/1899,-46.75,47.25,0,BERG,NOT IIP
02/02/1899,-45.75,45.07,0,X,NOT IIP
02/08/1899,-45.97,47.02,0,SM,NOT IIP
02/08/1899,-47.02,45.42,0,MED,NOT IIP
02/08/1899,-46.75,47.85,0,X,NOT IIP
02/09/1899,-45.07,46.13,0,LG,NOT IIP
02/09/1899,-45.07,46.13,0,SM,NOT IIP
02/10/1899,-45.97,44.95,0,LG,NOT IIP
02/10/1899,-45.97,44.95,0,BBGR,NOT IIP
02/17/1899,-44.08,46.23,0,MED,NOT IIP
02/17/1899,-44.08,46.28,0,LG,NOT IIP
02/17/1899,-44.6,46.07,0,BERG,NOT IIP
02/17/1899,-46.38,45.45,0,BBGR,NOT IIP
02/17/1899,-45.03,46.05,0,LG,NOT IIP
02/17/1899,-45.03,46.05,0,BERG,NOT IIP
02/17/1899,-46.37,45.53,0,LG,NOT IIP
02/17/1899,-47.0,46.23,0,LG,NOT IIP
02/17/1899,-47.0,45.9,0,LG,NOT IIP
02/18/1899,-46.57,46.73,0,BERG,NOT IIP
02/18/1899,-47.05,45.25,0,BERG,NOT IIP
02/19/1899,-45.0,45.1,0,X,NOT IIP
02/19/1899,-43.55,45.47,0,MED,NOT IIP
02/19/1899,-44.53,45.13,0,LG,NOT IIP
02/05/1899,-48.22,45.55,0,MED,NOT IIP
02/05/1899,-48.03,45.63,0,MED,NOT IIP
02/09/1899,-48.38,45.45,0,LG,NOT IIP
02/21/1899,-48.05,45.0,0,BERG,NOT IIP
02/21/1899,-49.05,44.05,0,BERG,NOT IIP
02/22/1899,-48.0,45.0,0,X,NOT IIP
02/22/1899,-48.75,44.75,0,X,NOT IIP
02/22/1899,-48.0,45.0,0,SM,NOT IIP
02/22/1899,-48.75,44.75,0,SM,NOT IIP
02/22/1899,-48.0,45.0,0,X,NOT IIP
02/22/1899,-48.75,44.75,0,X,NOT IIP
02/24/1899,-48.05,44.63,0,LG,NOT IIP
02/25/1899,-49.63,44.25,0,LG,NOT IIP
02/05/1899,-46.98,46.02,0,SM,NOT IIP
02/08/1899,-47.42,45.58,0,MED,NOT IIP
02/08/1899,-47.25,44.07,0,SM,NOT IIP
02/08/1899,-47.25,44.07,0,BBGR,NOT IIP
02/09/1899,-47.45,45.73,0,BERG,NOT IIP
02/09/1899,-46.87,44.73,0,SM,NOT IIP
02/09/1899,-45.2,45.12,0,SM,NOT IIP
02/11/1899,-47.7,45.92,0,BERG,NOT IIP
02/12/1899,-46.48,46.43,0,BERG,NOT IIP
02/18/1899,-44.77,45.03,0,BERG,NOT IIP
02/18/1899,-46.37,45.78,0,LG,NOT IIP
02/20/1899,-45.0,45.05,0,LG,NOT IIP
02/20/1899,-45.0,45.05,0,SM,NOT IIP
02/21/1899,-47.75,46.27,0,BERG,NOT IIP
02/22/1899,-46.02,45.75,0,LG,NOT IIP
02/22/1899,-46.02,45.75,0,LG,NOT IIP
02/23/1899,-43.77,46.73,0,SM,NOT IIP
02/23/1899,-43.77,46.73,0,LG,NOT IIP
02/23/1899,-43.77,46.73,0,BERG,NOT IIP
02/23/1899,-47.02,45.0,0,BERG,NOT IIP
02/24/1899,-44.23,46.75,0,BERG,NOT IIP
02/24/1899,-46.07,46.08,0,BERG,NOT IIP
02/24/1899,-46.62,45.85,0,BERG,NOT IIP
02/24/1899,-47.43,45.0,0,BERG,NOT IIP
02/24/1899,-46.75,44.85,0,MED,NOT IIP
02/24/1899,-46.92,46.07,0,BERG,NOT IIP
02/24/1899,-48.05,45.95,0,BERG,NOT IIP
02/24/1899,-46.92,46.07,0,X,NOT IIP
02/24/1899,-48.05,45.95,0,X,NOT IIP
02/24/1899,-46.0,46.3,0,BERG,NOT IIP
02/24/1899,-46.63,45.0,0,BERG,NOT IIP
02/27/1899,-45.03,45.05,0,MED,NOT IIP
02/28/1899,-47.15,44.48,0,BERG,NOT IIP
02/27/1899,-44.88,46.8,0,BERG,NOT IIP
02/28/1899,-47.07,45.42,0,BERG,NOT IIP
02/28/1899,-48.03,44.05,0,BERG,NOT IIP
02/27/1899,-46.2,45.72,0,X,NOT IIP
02/27/1899,-46.2,45.72,0,BERG,NOT IIP
02/27/1899,-46.2,45.72,0,BERG,NOT IIP
02/27/1899,-2964406379203.4,397763806407.43,0,BERG,NOT IIP
02/28/1899,-46.27,46.32,0,LG,NOT IIP
02/28/1899,-47.47,44.82,0,BERG,NOT IIP
02/28/1899,-47.47,44.82,0,X,NOT IIP
03/02/1899,-46.7,45.78,0,LG,NOT IIP
03/02/1899,-48.05,45.37,0,LG,NOT IIP
02/26/1899,-48.07,43.05,0,X,NOT IIP
03/03/1899,-48.02,43.55,0,BERG,NOT IIP
03/05/1899,-48.0,43.07,0,LG,NOT IIP
03/05/1899,-48.0,43.07,0,BBGR,NOT IIP
03/05/1899,-49.13,44.3,0,LG,NOT IIP
03/05/1899,-49.9,44.02,0,LG,NOT IIP
03/06/1899,-49.88,42.8,0,SM,NOT IIP
03/06/1899,-49.88,42.87,0,BERG,NOT IIP
02/13/1899,-44.65,47.8,0,SM,NOT IIP
02/15/1899,-44.15,45.93,0,SM,NOT IIP
02/18/1899,-45.52,45.8,0,LG,NOT IIP
02/18/1899,-44.63,46.0,0,MED,NOT IIP
02/21/1899,-44.57,45.65,0,MED,NOT IIP
02/21/1899,-44.57,45.65,0,BERG,NOT IIP
02/28/1899,-45.98,44.68,0,BERG,NOT IIP
03/01/1899,-45.0,45.65,0,BERG,NOT IIP
03/01/1899,-46.53,44.08,0,BERG,NOT IIP
03/01/1899,-45.0,45.65,0,X,NOT IIP
03/01/1899,-46.53,44.08,0,X,NOT IIP
03/02/1899,-44.35,45.32,0,LG,NOT IIP
03/02/1899,-46.53,44.05,0,MED,NOT IIP
03/02/1899,-46.53,44.05,0,X,NOT IIP
03/02/1899,-46.53,44.05,0,BBGR,NOT IIP
03/03/1899,-46.0,46.0,0,BERG,NOT IIP
03/03/1899,-49.0,45.05,0,BERG,NOT IIP
03/04/1899,-43.13,45.05,0,LG,NOT IIP
03/04/1899,-42.77,45.37,0,LG,NOT IIP
03/04/1899,-43.28,46.0,0,MED,NOT IIP
03/04/1899,-43.28,46.0,0,SM,NOT IIP
03/04/1899,-43.28,46.0,0,BERG,NOT IIP
03/05/1899,-46.92,46.42,0,BERG,NOT IIP
03/05/1899,-49.63,44.57,0,BERG,NOT IIP
03/05/1899,-47.28,45.43,0,LG,NOT IIP
03/05/1899,-49.32,44.13,0,LG,NOT IIP
03/05/1899,-46.02,47.75,0,BERG,NOT IIP
03/05/1899,-49.05,44.0,0,BERG,NOT IIP
03/16/1899,-52.62,41.87,0,LG,NOT IIP
02/20/1899,-49.0,45.05,0,BERG,NOT IIP
02/20/1899,-49.07,45.27,0,BERG,NOT IIP
02/20/1899,-49.0,45.05,0,X,NOT IIP
02/20/1899,-49.07,45.27,0,X,NOT IIP
02/25/1899,-48.8,43.35,0,LG,NOT IIP
03/09/1899,-49.08,43.4,0,LG,NOT IIP
03/09/1899,-49.08,43.4,0,BBGR,NOT IIP
03/09/1899,-49.0,43.05,0,MED,NOT IIP
03/12/1899,-48.75,43.18,0,BERG,NOT IIP
03/12/1899,-50.05,42.75,0,BERG,NOT IIP
03/13/1899,-50.0,42.02,0,LG,NOT IIP
03/13/1899,-50.0,42.02,0,MED,NOT IIP
03/13/1899,-50.0,42.02,0,SM,NOT IIP
03/13/1899,-49.48,42.28,0,BERG,NOT IIP
03/13/1899,-49.93,42.28,0,BERG,NOT IIP
03/13/1899,-49.6,42.0,0,BERG,NOT IIP
03/13/1899,-49.6,42.0,0,BBGR,NOT IIP
03/13/1899,-50.27,42.62,0,MED,NOT IIP
03/13/1899,-48.65,42.58,0,SM,NOT IIP
03/13/1899,-49.82,42.6,0,BERG,NOT IIP
03/13/1899,-49.37,42.08,0,LG,NOT IIP
03/14/1899,-50.02,42.0,0,MED,NOT IIP
03/15/1899,-51.9,41.95,0,LG,NOT IIP
03/15/1899,-49.7,42.0,0,SM,NOT IIP
03/15/1899,-49.0,41.97,0,LG,NOT IIP
03/15/1899,-50.87,41.97,0,LG,NOT IIP
03/15/1899,-49.0,41.97,0,SM,NOT IIP
03/15/1899,-50.87,41.97,0,SM,NOT IIP
03/16/1899,-49.07,42.03,0,LG,NOT IIP
03/16/1899,-50.3,41.98,0,BERG,NOT IIP
03/16/1899,-50.45,42.02,0,MED,NOT IIP
03/16/1899,-49.0,41.0,0,LG,NOT IIP
03/16/1899,-50.0,42.0,0,LG,NOT IIP
03/15/1899,-46.8,45.82,0,BERG,NOT IIP
03/15/1899,-50.08,44.05,0,BERG,NOT IIP
03/15/1899,-40.0,43.08,0,BERG,NOT IIP
03/15/1899,-50.0,43.08,0,BERG,NOT IIP
