data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size
IOT,1,193,193,N,Ship,James Brand (SS),Visual,47.56666667,-51.81666667,1902,1902,January,1/5/02,,Medium
IOT,1,49,49,N,Miscellaneous,Belle Isle Lighthouse,Visual,51.83333333,-55.25,1902,1902,January,1/30/02,,Berg
IOT,1,1,1,N,Miscellaneous,Gull Island Lighthouse,Visual,50.01666667,-55.51666667,1902,1902,February,2/1/02,,Berg
IOT,1,2,2,N,Miscellaneous,Gull Island Lighthouse,Visual,50.01666667,-55.51666667,1902,1902,February,2/2/02,,Berg
IOT,1,50,50,N,Miscellaneous,Belle Isle Lighthouse,Visual,51.91666667,-55.25,1902,1902,February,2/10/02,,Berg
IOT,1,3,3,N,Miscellaneous,Gull Island Lighthouse,Visual,50.01666667,-55.51666667,1902,1902,February,2/15/02,,Berg
IOT,1,4,4,N,Miscellaneous,Gull Island Lighthouse,Visual,50.01666667,-55.51666667,1902,1902,February,2/21/02,,Berg
IOT,1,51,51,N,Miscellaneous,Belle Isle Lighthouse,Visual,51.91666667,-55.5,1902,1902,February,2/25/02,,Berg
IOT,1,5,5,N,Miscellaneous,Gull Island Lighthouse,Visual,50.01666667,-55.51666667,1902,1902,February,2/28/02,,Berg
IOT,1,8,8,N,Miscellaneous,Offer Wadham Lighthouse,Visual,49.6,-53.76666667,1902,1902,March,3/16/02,,Berg
IOT,1,9,9,N,Miscellaneous,Offer Wadham Lighthouse,Visual,49.6,-53.76666667,1902,1902,March,3/17/02,,Berg
IOT,1,52,52,N,Miscellaneous,Belle Isle Lighthouse,Visual,51.91666667,-55.43333333,1902,1902,March,3/20/02,,Berg
IOT,1,10,10,N,Miscellaneous,Offer Wadham Lighthouse,Visual,49.6,-53.76666667,1902,1902,March,3/26/02,,Berg
IOT,1,11,11,N,Miscellaneous,Offer Wadham Lighthouse,Visual,49.6,-53.76666667,1902,1902,March,3/27/02,,Berg
IOT,1,24,24,N,Miscellaneous,Gull Island Lighthouse,Visual,50.01666667,-55.51666667,1902,1902,March,3/27/02,,Berg
IOT,1,6,6,N,Ship,Willkommen (SS),Visual,47.35,-51.25,1902,1902,March,3/28/02,,Medium
IOT,1,12,12,N,Miscellaneous,Offer Wadham Lighthouse,Visual,49.6,-53.76666667,1902,1902,March,3/28/02,,Berg
IOT,1,13,13,N,Miscellaneous,Offer Wadham Lighthouse,Visual,49.6,-53.76666667,1902,1902,March,3/29/02,,Berg
IOT,1,14,14,N,Miscellaneous,Offer Wadham Lighthouse,Visual,49.6,-53.76666667,1902,1902,March,3/30/02,,Berg
IOT,1,25,25,N,Miscellaneous,Gull Island Lighthouse,Visual,50.01666667,-55.51666667,1902,1902,March,3/30/02,,Berg
IOT,1,15,15,N,Miscellaneous,Offer Wadham Lighthouse,Visual,49.6,-53.76666667,1902,1902,March,3/31/02,,Berg
IOT,1,20,20,N,Miscellaneous,Cabot Island Lighthouse,Visual,49.16666667,-53.36666667,1902,1902,April,4/2/02,,Berg
IOT,1,26,26,N,Miscellaneous,Gull Island Lighthouse,Visual,50.01666667,-55.51666667,1902,1902,April,4/2/02,,Berg
IOT,1,27,27,N,Miscellaneous,Gull Island Lighthouse,Visual,50.01666667,-55.51666667,1902,1902,April,4/3/02,,Berg
