data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments,,,,,,
IOT,1,1,1,N,Ship,Tabasco (SS),Visual,47.4,-46.76666667,1904,1904,March,3/1/04,,Small,,,,2,,,,,,,,,,,,,,,,,,HB 759 Mar 16: saw 2 small bergs & field ice which extended ~100 miles to the southward. NYMR,,,,,,
IOT,1,6.1,6.1,N,Ship,Pennoil (SS),Visual,44.88333333,-49.01666667,1904,1904,March,3/2/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 761 Mar 30: passed a small berg & several small pieces of ice,,,,,,
IOT,1,6.2,6.2,N,Ship,Pennoil (SS),Visual,44.88333333,-49.01666667,1904,1904,March,3/2/04,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 761 Mar 30: passed a small berg & several small pieces of ice,,,,,,
IOT,1,2,2,N,Ship,Montcalm (SS),Visual,44.5,-48.5,1904,1904,March,3/4/04,,Medium,,,,,1,,,,,,,,,,,,,,,,,HB 759 Mar 16,,,,,,
IOT,1,405,405,N,Ship,Unknown,Visual,46.2,-47.41666667,1904,1904,March,3/4/04,,Medium,,,,,1,,,,,,,,,,,,,,,,,NYMR,,,,,,
IOT,1,3,3,N,Ship,Energie (SS),Visual,43.26666667,-49.3,1904,1904,March,3/6/04,,Small,,,,x,,,,,,,,,,,,,,,,,,HB 759 Mar 16: passed a field of ice ~2 miles square & numerous small bergs,,,,,,
IOT,1,4,4,N,Ship,Idaho (SS),Visual,43.9,-49.2,1904,1904,March,3/7/04,,Small,,,,2,,,,,,,,,,,,,,,,,,HB 759 Mar 16: passed a large belt of field ice extending towards the north as far as could be seen; also 2 small bergs 3½ miles to the northward [position calculated]. NYMR,,,,,,
IOT,1,5.1,5.1,N,Ship,Standard (SS),Visual,42.28333333,-50.81666667,1904,1904,March,3/9/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 760 Mar 23: passed ~4 miles north of a small berg & 2 small pieces of ice [position calculated],,,,,,
IOT,1,5.2,5.2,N,Ship,Standard (SS),Visual,42.28333333,-50.81666667,1904,1904,March,3/9/04,,Growler,,2,,,,,,,,,,,,,,,,,,,,HB 760 Mar 23: passed ~4 miles north of a small berg & 2 small pieces of ice [position calculated],,,,,,
IOT,1,7,7,N,Ship,Barcelona (SS),Visual,46.83333333,-46.9,1904,1904,March,3/14/04,,Large,,,,,,2,,,,,,,30,E,,,,,,,,HB 761 Mar 30: encountered a large field of ice with 2 large bergs over 100' high in it; ran 48 miles on a southerly course before clearing it. NYMR,,,,,,
