data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,82,82,N,Ship,British King (SS),Visual,45.75,-41.85,1906,1906,January,1/2/06,,Large,,,,,,1,,,,Pinnacle,,,,,,,,,,,,HB 855_2 Jan 17: passed a large double peaked iceberg
IOT,1,72,72,N,Ship,Buenos Ayrean (SS),Visual,47.56666667,-52.43333333,1906,1906,January,1/3/06,,Large,,,,,,1,,,,,137,E,15,E,,,,,,,,HB 854 Jan 10: passed a berg ~450' long & 50' high 10 miles off St.John's [approximate position calculated]
IOT,1,73,73,N,Ship,Cymric (SS),Visual,45.66666667,-50.61666667,1906,1906,January,1/3/06,,Medium,,,,,1,,,,,,91,E,30,E,,,,,,,,HB 854 Jan 10: passed an iceberg about 300 feet long and 100 feet high 
IOT,1,76,76,N,Ship,Dominion (SS),Visual,45.41666667,-50.45,1906,1906,January,1/4/06,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 855 Jan 17
IOT,1,93,93,N,Ship,Sachem (SS),Visual,46.8,-48.4,1906,1906,January,1/4/06,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 857 Jan 31
IOT,1,74,74,N,Ship,Carmania (SS),Visual,45.66666667,-50.36666667,1906,1906,January,1/5/06,,Small,,,,1,,,,,,,30,E,15,E,,,,,,,,HB 854 Jan 10: passed an iceberg about 100 feet long and 50 feet high 
IOT,1,75,75,N,Ship,Furnessia (SS),Visual,46.5,-52.2,1906,1906,January,1/5/06,,Large,,,,,,1,,,,,183,E,61,E,,,,,,,,HB 855 Jan 17: passed an iceberg about 200 feet high and 600 feet long
IOT,1,110,110,N,Ship,Chicago (SS),Visual,46.15,-43.36666667,1906,1906,January,1/7/06,,Very large,,,,,,,1,,,,,,,,,,,,,,,HB 858 Feb 7
IOT,1,103,103,N,Ship,Montreal (SS),Visual,45.91666667,-46.95,1906,1906,January,1/8/06,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 858 Feb 7
IOT,1,77,77,N,Ship,Iberian (SS),Visual,45.83333333,-49.75,1906,1906,January,1/9/06,,Small,,,,1,,,,,,,37,E,12,E,,,,,,,,HB 855 Jan 17
