data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments,
IOT,1,1,1,N,Ship,Oriflamme (SS),Visual,48.61666667,-34.7,1913,1913,January,1/9/13,,Large,,,,,,1,,,,,122,E,12,E,,,,,,,,"HB 1222 Jan 29. Marine Observer, J. Hennessy, Vol. 19, 1932 pp. 76-80.",
IOT,1,179,179,N,Ship,Ramore Head (SS),Visual,46.13333333,-47.75,1913,1913,January,1/11/13,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1221 Jan 22 ,
IOT,1,2,2,N,Ship,Cameronia (SS),Visual,45,-48.3,1913,1913,January,1/30/13,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1223 Feb 5 & NYMR: Surrounded by field ice.,
IOT,1,3,3,N,Ship,Arkansas (SS),Visual,46.18333333,-47.45,1913,1913,February,2/17/13,,Small,,,,1,,,,,,,30,E,9,E,,,,,,,,"NYMR & HB 1227 March 5: ~100' long, 30' high.",
IOT,1,4.1,4.1,N,Ship,Manchester Port (SS),Visual,47.65,-43.2,1913,1913,February,2/17/13,,Large,,,,,,1,,,,,,,,,,,,,,,,"NYMR & HB 1227 March 5: passed 2 large bergs, one ~300' long & 100' high",
IOT,1,4.2,4.2,N,Ship,Manchester Port (SS),Visual,47.65,-43.2,1913,1913,February,2/17/13,,Medium,,,,,1,,,,,,91,E,30,E,,,,,,,,"NYMR & HB 1227 March 5: passed 2 large bergs, one ~300' long & 100' high",
IOT,1,5,5,N,Ship,Mineric (SS),Visual,47,-47,1913,1913,March,3/2/13,,Large,,,,,,2,,,,,,,,,,,,,,,,NYMR & HB 1228 March 12: encountered 2 large bergs; also field ice which extended as far as the could reach. Steamed for 3 hours ro the southward to clear the ice,
IOT,1,6.11,6.11,N,Ship,Sally Maersk (SS),Visual,48.83333333,-43.96666667,1913,1913,March,3/3/13,,Medium,,,,,4,,,,,,91,E,24,E,,,,,,,,"NYMR & HB 1229 March 19: 5 large bergs 200-300' long, 50-80' high with the largest being 100' high, drifting through the field ice at 1.5 knots. The small berg was ~60' long & 20' high & had 3 peaks",
IOT,0,6.12,6.12,N,Ship,Sally Maersk (SS),Visual,49.08333333,-43.13333333,1913,1913,March,3/3/13,,Medium,,,,,,,,,,,,,,,,,,,,,,"NYMR & HB 1229 March 19: 5 large bergs 200-300' long, 50-80' high with the largest being 100' high, drifting through the field ice at 1.5 knots. The small berg was ~60' long & 20' high & had 3 peaks",
IOT,1,6.21,6.21,N,Ship,Sally Maersk (SS),Visual,48.83333333,-43.96666667,1913,1913,March,3/3/13,,Medium,,,,,1,,,,,,,,30,E,,,,,,,,"NYMR & HB 1229 March 19: 5 large bergs 200-300' long, 50-80' high with the largest being 100' high, drifting through the field ice at 1.5 knots. The small berg was ~60' long & 20' high & had 3 peaks",
IOT,0,6.22,6.22,N,Ship,Sally Maersk (SS),Visual,49.08333333,-43.13333333,1913,1913,March,3/3/13,,Medium,,,,,,,,,,,,,,,,,,,,,,"NYMR & HB 1229 March 19: 5 large bergs 200-300' long, 50-80' high with the largest being 100' high, drifting through the field ice at 1.5 knots. The small berg was ~60' long & 20' high & had 3 peaks",
IOT,1,6.31,6.31,N,Ship,Sally Maersk (SS),Visual,48.83333333,-43.96666667,1913,1913,March,3/3/13,,Small,,,,1,,,,,,Pinnacle,18,E,6.1,E,,,,,,,,"NYMR & HB 1229 March 19: 5 large bergs 200-300' long, 50-80' high with the largest being 100' high, drifting through the field ice at 1.5 knots. The small berg was ~60' long & 20' high & had 3 peaks",
IOT,0,6.31,6.31,N,Ship,Sally Maersk (SS),Visual,49.08333333,-43.13333333,1913,1913,March,3/3/13,,Small,,,,,,,,,,,,,,,,,,,,,,"NYMR & HB 1229 March 19: 5 large bergs 200-300' long, 50-80' high with the largest being 100' high, drifting through the field ice at 1.5 knots. The small berg was ~60' long & 20' high & had 3 peaks",
