data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,1,1,N,Unknown,Unknown,Visual,47.91666667,-52.6,1942,1942,February,2/17/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,2,2,N,Unknown,Unknown,Visual,47.81666667,-52.61666667,1942,1942,February,2/17/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,3,3,N,Unknown,Unknown,Visual,47.86666667,-52.66666667,1942,1942,February,2/17/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,4,4,N,Unknown,Unknown,Visual,48.4,-51.76666667,1942,1942,February,2/26/42,,Berg,2,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,5,5,N,Unknown,Unknown,Visual,47.66666667,-52.68333333,1942,1942,March,3/2/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,6,6,N,Unknown,Unknown,Visual,47.03333333,-52.4,1942,1942,March,3/2/42,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,7,7,N,Unknown,Unknown,Visual,48.71666667,-52.76666667,1942,1942,March,3/7/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,8,8,N,Unknown,Unknown,Visual,48.5,-52,1942,1942,March,3/9/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,9,9,N,Unknown,Unknown,Visual,48.33333333,-51.41666667,1942,1942,March,3/9/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,11,11,N,Unknown,Unknown,Visual,48,-52.83333333,1942,1942,March,3/10/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,12,12,N,Unknown,Unknown,Visual,67,-29,1942,1942,March,3/10/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,13.1,13.1,N,Unknown,Unknown,Visual,59,-50,1942,1942,March,3/10/42,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,13.2,13.2,N,Unknown,Unknown,Visual,59,-50,1942,1942,March,3/10/42,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,14.1,14.1,N,Unknown,Unknown,Visual,64.66666667,-52.75,1942,1942,March,3/10/42,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,14.2,14.2,N,Unknown,Unknown,Visual,64.66666667,-52.75,1942,1942,March,3/10/42,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,15,15,N,Unknown,Unknown,Visual,51.5,-56.5,1942,1942,March,3/11/42,,Berg,4,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,16,16,N,Unknown,Unknown,Visual,50,-56.5,1942,1942,March,3/11/42,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,17,17,N,Unknown,Unknown,Visual,47.38333333,-52.05,1942,1942,March,3/11/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,18,18,N,Unknown,Unknown,Visual,47.65,-52,1942,1942,March,3/12/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,19,19,N,Unknown,Unknown,Visual,47.66666667,-52.58333333,1942,1942,March,3/12/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,20,20,N,Unknown,Unknown,Visual,47.58333333,-52.18333333,1942,1942,March,3/13/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,21,21,N,Unknown,Unknown,Visual,47.5,-52,1942,1942,March,3/14/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,22,22,N,Unknown,Unknown,Visual,47.45,-52.28333333,1942,1942,March,3/14/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,23,23,N,Unknown,Unknown,Visual,46.78333333,-52.83333333,1942,1942,March,3/15/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,24,24,N,Unknown,Unknown,Visual,52,-55.5,1942,1942,March,3/15/42,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,25,25,N,Unknown,Unknown,Visual,46.75,-52.88333333,1942,1942,March,3/15/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,26,26,N,Unknown,Unknown,Visual,47.18333333,-52.56666667,1942,1942,March,3/15/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,27,27,N,Unknown,Unknown,Visual,47.41666667,-52,1942,1942,March,3/15/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,28,28,N,Unknown,Unknown,Visual,47.36666667,-52.05,1942,1942,March,3/15/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,29,29,N,Unknown,Unknown,Visual,47.2,-52.13333333,1942,1942,March,3/15/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,30,30,N,Unknown,Unknown,Visual,47.28333333,-52.33333333,1942,1942,March,3/15/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,31,31,N,Unknown,Unknown,Visual,46.66666667,-53.01666667,1942,1942,March,3/16/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,32,32,N,Unknown,Unknown,Visual,46.66666667,-52.58333333,1942,1942,March,3/16/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,33,33,N,Unknown,Unknown,Visual,47.58333333,-52.55,1942,1942,March,3/16/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,34,34,N,Unknown,Unknown,Visual,46.7,-53.03333333,1942,1942,March,3/16/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,35,35,N,Unknown,Unknown,Visual,47.91666667,-52.91666667,1942,1942,March,3/16/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,36,36,N,Unknown,Unknown,Visual,47.21666667,-52.78333333,1942,1942,March,3/16/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,37,37,N,Unknown,Unknown,Visual,47.71666667,-52.68333333,1942,1942,March,3/16/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,38,38,N,Unknown,Unknown,Visual,46.66666667,-52.91666667,1942,1942,March,3/16/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,39,39,N,Unknown,Unknown,Visual,47.2,-52.5,1942,1942,March,3/16/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,40,40,N,Unknown,Unknown,Visual,47.63333333,-52.6,1942,1942,March,3/17/42,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,41,41,N,Unknown,Unknown,Visual,46.65,-53,1942,1942,March,3/20/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,42,42,N,Unknown,Unknown,Visual,46.65,-53.03333333,1942,1942,March,3/22/42,,Small,,,,x,,,,,,,,,,,,,,,,,,IIP
IOT,1,43,43,N,Unknown,Unknown,Visual,46.3,-52.93333333,1942,1942,March,3/22/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,44,44,N,Unknown,Unknown,Visual,46.65,-53.05,1942,1942,March,3/22/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,45,45,N,Unknown,Unknown,Visual,46.55,-53.53333333,1942,1942,March,3/22/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,46,46,N,Unknown,Unknown,Visual,46.65,-53.01666667,1942,1942,March,3/25/42,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP: Aground
IOT,1,47,47,N,Unknown,Unknown,Visual,46.68333333,-53,1942,1942,March,3/25/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,48,48,N,Unknown,Unknown,Visual,46.95,-52.88333333,1942,1942,March,3/25/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,49.1,49.1,N,Unknown,Unknown,Visual,46.65,-53.01666667,1942,1942,March,3/28/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,"IIP: Aground, growlers in vicinity"
IOT,1,49.2,49.2,N,Unknown,Unknown,Visual,46.65,-53.01666667,1942,1942,March,3/28/42,,Growler,,x,,,,,,,,,,,,,,,,,,,,"IIP: Aground, growlers in vicinity"
IOT,1,50.1,50.1,N,Unknown,Unknown,Visual,43.7,-56.08333333,1942,1942,March,3/29/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: an unusual location given the year
IOT,1,50.2,50.2,N,Unknown,Unknown,Visual,43.7,-56.08333333,1942,1942,March,3/29/42,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: an unusual location given the year
IOT,1,51,51,N,Unknown,Unknown,Visual,49.55,-53.95,1942,1942,March,3/29/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,52,52,N,Unknown,Unknown,Visual,46.63333333,-53.08333333,1942,1942,March,3/30/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: Breaking up
IOT,1,53,53,N,Unknown,Unknown,Visual,47.66666667,-52.71666667,1942,1942,March,3/30/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: Grounded
IOT,1,54,54,N,Unknown,Unknown,Visual,46.61666667,-53.46666667,1942,1942,April,4/5/42,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,55,55,N,Unknown,Unknown,Visual,48.71666667,-53.16666667,1942,1942,April,4/8/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,56,56,N,Unknown,Unknown,Visual,47.45,-52.41666667,1942,1942,April,4/8/42,,Berg,2,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,57,57,N,Unknown,Unknown,Visual,46.61666667,-53.33333333,1942,1942,April,4/9/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: Trepassey Bay berg
IOT,1,58,58,N,Unknown,Unknown,Visual,47,-52.55,1942,1942,April,4/9/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: Aground
IOT,1,59,57,Y,Unknown,Unknown,Visual,46.61666667,-53.33333333,1942,1942,April,4/10/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: Trepassey Bay berg [likely resight of #57]
IOT,1,60,60,N,Unknown,Unknown,Visual,47.38333333,-50.86666667,1942,1942,April,4/10/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,61,57,Y,Unknown,Unknown,Visual,46.61666667,-53.33333333,1942,1942,April,4/11/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: Trepassey Bay berg [likely resight of #57]
IOT,1,62,62,N,Unknown,Unknown,Visual,46.6,-53.3,1942,1942,April,4/11/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,63.01,63.01,N,Unknown,Unknown,Visual,55,-49,1942,1942,April,4/12/42,,Berg,2,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,63.02,63.02,N,Unknown,Unknown,Visual,56,-49,1942,1942,April,4/12/42,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,64,57,Y,Unknown,Unknown,Visual,46.61666667,-53.5,1942,1942,April,4/13/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: Trepassey berg aground [likely resight of #57]
IOT,1,65,65,N,Unknown,Unknown,Visual,49.75,-55,1942,1942,April,4/13/42,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,66.11,66.11,N,Unknown,Unknown,Visual,60.25,-45.5,1942,1942,April,4/13/42,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,66.12,66.12,N,Unknown,Unknown,Visual,59.66666667,-45.75,1942,1942,April,4/13/42,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,66.21,66.21,N,Unknown,Unknown,Visual,60.25,-45.5,1942,1942,April,4/13/42,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP
IOT,0,66.22,66.22,N,Unknown,Unknown,Visual,59.66666667,-45.75,1942,1942,April,4/13/42,,Growler,,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,67,57,Y,Unknown,Unknown,Visual,46.61666667,-53.33333333,1942,1942,April,4/14/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: Trepassey berg at mouth [likely resight of #57]
IOT,1,68,68,N,Unknown,Unknown,Visual,50.21666667,-55.7,1942,1942,April,4/14/42,,Berg,2,,,,,,,,,,,,,,,,,,,,,"IIP: given position just on Horse Island, moved 1 minute east"
IOT,1,69,69,N,Unknown,Unknown,Visual,50.7,-55.43333333,1942,1942,April,4/14/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,70,70,N,Unknown,Unknown,Visual,47.66666667,-52.86666667,1942,1942,April,4/14/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,71,71,N,Unknown,Unknown,Visual,51.63333333,-55.4,1942,1942,April,4/14/42,,Berg,3,,,,,,,,,,,,,,,,,,,,,"IIP: given position just on land, moved 1 muinute east"
IOT,1,72,72,N,Unknown,Unknown,Visual,50.25,-57.63333333,1942,1942,April,4/14/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,73,57,Y,Unknown,Unknown,Visual,46.61666667,-53.33333333,1942,1942,April,4/15/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: Trepassey berg at mouth [likely resight of #57]
IOT,1,74,74,N,Unknown,Unknown,Visual,56.2,-49.53333333,1942,1942,April,4/17/42,,Berg,2,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,75,75,N,Unknown,Unknown,Visual,58.33333333,-49.41666667,1942,1942,April,4/17/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,76,57,Y,Unknown,Unknown,Visual,46.61666667,-53.33333333,1942,1942,April,4/19/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: Trepassey Bay berg [likely resight of #57]
IOT,1,77.1,77.1,N,Unknown,Unknown,Visual,60.66666667,-47.5,1942,1942,April,4/20/42,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,77.2,77.2,N,Unknown,Unknown,Visual,60.66666667,-47.5,1942,1942,April,4/20/42,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,78,57,Y,Unknown,Unknown,Visual,46.61666667,-53.33333333,1942,1942,April,4/21/42,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP: Trepassey Bay berg [likely resight of #57]
