data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#berg,#growler,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,description
IOT,1,1,1,N,Miscellaneous,Hydrographic Office,Unknown,52.26666667,-51.71666667,1954,1954,January,1/3/54,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,2,2,N,Ship,Lagerfoss,Visual,59.5,-33.38333333,1954,1954,January,1/8/54,,Berg ,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,4,4,N,Aircraft,USCG,Visual,49.33333333,-52.5,1954,1954,January,1/22/54,,Small,,,,1,,,,,,,,,15,E,,,,,,,,
IOT,1,7.1,7.1,N,Aircraft,USCG,Visual,51,-51.83333333,1954,1954,January,1/25/54,,Large,,,,,,2,,,,,,,,,,,,,,,,"2 small bergs, 5 medium bergs, and 2 large bergs within 30 mile radius of."
IOT,1,7.2,7.2,N,Aircraft,USCG,Visual,51,-51.83333333,1954,1954,January,1/25/54,,Medium,,,,,5,,,,,,,,,,,,,,,,,"2 small bergs, 5 medium bergs, and 2 large bergs within 30 mile radius of."
IOT,1,7.3,7.3,N,Aircraft,USCG,Visual,51,-51.83333333,1954,1954,January,1/25/54,,Small,,,,2,,,,,,,,,,,,,,,,,,"2 small bergs, 5 medium bergs, and 2 large bergs within 30 mile radius of."
IOT,1,8,8,N,Aircraft,USCG,Visual,48.55,-52.16666667,1954,1954,January,1/25/54,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,9,9,N,Aircraft,USCG,Visual,48.83333333,-51.33333333,1954,1954,January,1/25/54,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,10,10,N,Aircraft,USCG,Visual,49.05,-50.46666667,1954,1954,January,1/25/54,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,11,11,N,Aircraft,USCG,Visual,49.05,-50.83333333,1954,1954,January,1/25/54,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,12,12,N,Aircraft,USCG,Visual,49.08333333,-51.41666667,1954,1954,January,1/25/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,13,13,N,Aircraft,USCG,Visual,49.5,-50.33333333,1954,1954,January,1/25/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,14,14,N,Aircraft,USCG,Visual,49.61666667,-51.08333333,1954,1954,January,1/25/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,15,15,N,Aircraft,USCG,Visual,50.16666667,-50.2,1954,1954,January,1/25/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,16,16,N,Aircraft,USCG,Visual,51.5,-50.33333333,1954,1954,January,1/25/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,18,18,N,Ship,USCGC Matagorda,Visual,47.98333333,-49.46666667,1954,1954,January,1/25/54,,Growler,,1,,,,,,,,,,,,,,,,,,,,Small growler
IOT,1,20,20,N,Ship,USCGC Coos Bay,Radar,48.5,-50.33333333,1954,1954,January,1/26/54,,Unidentified,,,,,,,,,1,,,,,,,,,,,,,Radar target evaluated as Berg or Growler
IOT,1,21,21,N,Ship,USCGC Coos Bay,Radar,48.75,-49.75,1954,1954,January,1/26/54,,Unidentified,,,,,,,,,1,,,,,,,,,,,,,Radar target evaluated as Berg or Growler
IOT,1,22,22,N,Ship,USCGC Coos Bay,Radar,48.83333333,-49.8,1954,1954,January,1/26/54,,Unidentified,,,,,,,,,1,,,,,,,,,,,,,Radar target evaluated as Berg or Growler
IOT,1,23,23,N,Ship,USCGC Coos Bay,Radar,48.85,-49.68333333,1954,1954,January,1/26/54,,Unidentified,,,,,,,,,1,,,,,,,,,,,,,Radar target evaluated as Berg or Growler
IOT,1,24,24,N,Ship,USCGC Coos Bay,Radar,49.08333333,-49.18333333,1954,1954,January,1/26/54,,Unidentified,,,,,,,,,1,,,,,,,,,,,,,Radar target evaluated as Berg or Growler
IOT,1,25,25,N,Aircraft,USCG ,Visual,48.53333333,-49.33333333,1954,1954,January,1/26/54,,Growler,,2,,,,,,,,,,,,,,,,,,,,
IOT,1,26,26,N,Aircraft,USCG,Visual,48.53333333,-49.33333333,1954,1954,January,1/26/54,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,27,27,N,Aircraft,USCG,Visual,48.91666667,-48.83333333,1954,1954,January,1/26/54,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,28,9,Y,Aircraft,USCG,Visual,49.36666667,-50.91666667,1954,1954,January,1/26/54,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,29,29,N,Aircraft,USCG,Visual,49.41666667,-51.5,1954,1954,January,1/26/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,30,30,N,Aircraft,USCG,Visual,49.61666667,-52.08333333,1954,1954,January,1/26/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,31,10,Y,Aircraft,USCG,Visual,49.76666667,-49.83333333,1954,1954,January,1/26/54,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,33,33,N,Miscellaneous,Hydrographic Office,Unknown,47.93333333,-52.25,1954,1954,January,1/26/54,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,34,34,N,Miscellaneous,Hydrographic Office,Unknown,48.08333333,-49.53333333,1954,1954,January,1/30/54,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,35,35,N,Miscellaneous,Hydrographic Office,Unknown,48.23333333,-47.51666667,1954,1954,January,1/30/54,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,36,36,N,Miscellaneous,Hydrographic Office,Unknown,48.26666667,-48.2,1954,1954,January,1/30/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,37,37,N,Miscellaneous,Hydrographic Office,Unknown,48.33333333,-48.78333333,1954,1954,January,1/30/54,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,38,38,N,Miscellaneous,Hydrographic Office,Unknown,48.36666667,-48.7,1954,1954,January,1/30/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,39,39,N,Miscellaneous,Hydrographic Office,Unknown,48.58333333,-51.11666667,1954,1954,January,1/30/54,,Growler,,3,,,,,,,,,,,,,,,,,,,,
IOT,1,40,40,N,Miscellaneous,Hydrographic Office,Unknown,48.66666667,-49.46666667,1954,1954,January,1/30/54,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,41,41,N,Miscellaneous,Hydrographic Office,Unknown,48.68333333,-50.78333333,1954,1954,January,1/30/54,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,43,43,N,Miscellaneous,Hydrographic Office,Unknown,47.83333333,-52.4,1954,1954,January,1/31/54,,Large,,,,,,1,,,,,,,,,,,,,,,,
IOT,1,44,44,N,Miscellaneous,Hydrographic Office,Unknown,48.1,-48.16666667,1954,1954,January,1/31/54,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,45,45,N,Miscellaneous,Hydrographic Office,Unknown,48.23333333,-48.35,1954,1954,January,1/31/54,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,46,46,N,Miscellaneous,Hydrographic Office,Unknown,48.43333333,-47.28333333,1954,1954,January,1/31/54,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,48,48,N,Aircraft,USCG,Visual,47.58333333,-52.11666667,1954,1954,Febuary,2/3/54,,Medium,,,,,1,,,,,,,,,,,,,,,,,
IOT,1,49,49,N,Aircraft,USCG,Visual,48.33333333,-48.16666667,1954,1954,Febuary,2/3/54,,Growler,,2,,,,,,,,,,,,,,,,,,,,
IOT,1,50,50,N,Aircraft,USCG,Visual,48.53333333,-47.36666667,1954,1954,Febuary,2/3/54,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,51,51,N,Aircraft,USCG,Visual,48.7,-47.48333333,1954,1954,Febuary,2/3/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,52,52,N,Aircraft,USCG,Visual,48.71666667,-47.73333333,1954,1954,Febuary,2/3/54,,Small,,,,2,,,,,,,,,,,,,,,,,,
IOT,1,53,53,N,Aircraft,USCG,Visual,48.96666667,-52.11666667,1954,1954,Febuary,2/3/54,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,54,54,N,Aircraft,USCG,Visual,48.98333333,-51.16666667,1954,1954,Febuary,2/3/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,55,55,N,Aircraft,USCG,Visual,49,-52.46666667,1954,1954,Febuary,2/3/54,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,56,56,N,Aircraft,USCG,Visual,49.53333333,-51.31666667,1954,1954,Febuary,2/3/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,57,57,N,Aircraft,USCG,Visual,49.55,-50.53333333,1954,1954,Febuary,2/3/54,,Growler,,2,,,,,,,,,,,,,,,,,,,,
IOT,1,58,58,N,Aircraft,USCG,Visual,49.71666667,-52.16666667,1954,1954,Febuary,2/3/54,,Small,,,,1,,,,,,,,,,,,,,,,,,
