data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,# Bergs,# Growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,3,3,N,Aircraft,Ice Patrol Plane,Visual,50.7,-51.08333333,1956,1956,March,3/6/56,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,4,4,N,Aircraft,Ice Patrol Plane,Visual,50.7,-52.1,1956,1956,March,3/6/56,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,10,10,N,Ship,USCGC Duane,Visual,53.33333333,-50.56666667,1956,1956,March,3/9/56,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,11,11,N,Ship,USCGC Chincoteague,Visual,51.23333333,-49.38333333,1956,1956,March,3/10/56,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,12,12,N,Ship,USCGC Chincoteague,Visual,51.33333333,-49.66666667,1956,1956,March,3/10/56,,Small,,,,1,,,,,,,,,,,,,,,,,,
IOT,1,16,16,N,Aircraft,Ice Patrol Plane,Visual,51.86666667,-55.7,1956,1956,March,3/13/56,,Small,,,,x,,,,,,,,,,,,,,,,,,Small bergs
IOT,1,17,17,N,Aircraft,Ice Patrol Plane,Visual,51.98333333,-55.46666667,1956,1956,March,3/13/56,,Small,,,,x,,,,,,,,,,,,,,,,,,Small bergs
IOT,1,18,18,N,Aircraft,Ice Patrol Plane,Visual,52.03333333,-55.38333333,1956,1956,March,3/13/56,,Small,,,,x,,,,,,,,,,,,,,,,,,Small bergs
IOT,1,19,19,N,Aircraft,Ice Patrol Plane,Visual,50.65,-55.73333333,1956,1956,March,3/13/56,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,20,20,N,Aircraft,Ice Patrol Plane,Visual,52.05,-55.18333333,1956,1956,March,3/13/56,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,26,26,N,Aircraft,USN Plane,Visual,51.75,-54.41666667,1956,1956,March,3/16/56,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,27,27,N,Aircraft,Ice Patrol Plane,Visual,49.16666667,-49.36666667,1956,1956,March,3/18/56,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,28,28,N,Aircraft,Ice Patrol Plane,Visual,49.58333333,-52.58333333,1956,1956,March,3/18/56,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,29,29,N,Aircraft,Ice Patrol Plane,Visual,50,-50.66666667,1956,1956,March,3/18/56,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,30,30,N,Aircraft,Ice Patrol Plane,Visual,50.25,-50.08333333,1956,1956,March,3/18/56,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,31,31,N,Aircraft,Ice Patrol Plane,Visual,49.5,-49.16666667,1956,1956,March,3/18/56,,Growler,,9,,,,,,,,,,,,,,,,,,,,9 Growlers within 20 mile radius
IOT,1,34,34,N,Ship,Mormacmoon,Visual,48.36666667,-48.9,1956,1956,March,3/19/56,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,35,35,N,Ship,Mormacmoon,Visual,48.03333333,-49.4,1956,1956,March,3/19/56,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,36,36,N,Ship,Mormacmoon,Visual,48.21666667,-48.95,1956,1956,March,3/19/56,,Growler,,1,,,,,,,,,,,,,,,,,,,,
IOT,1,37,37,N,Ship,Kristina Thorden,Visual,48.7,-48.9,1956,1956,March,3/19/56,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,38,38,N,Ship,Kristina Thorden,Visual,48.86666667,-48.66666667,1956,1956,March,3/19/56,,Growler,,3,,,,,,,,,,,,,,,,,,,,3 Growlers
IOT,1,40,40,N,Aircraft,Ice Patrol Plane,Visual,48.5,-48.66666667,1956,1956,March,3/19/56,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,41,41,N,Aircraft,Ice Patrol Plane,Visual,48.55,-50.18333333,1956,1956,March,3/19/56,,Berg,1,,,,,,,,,,,,,,,,,,,,,
IOT,1,42,42,N,Aircraft,Ice Patrol Plane,Visual,48.75,-49.08333333,1956,1956,March,3/19/56,,Berg,1,,,,,,,,,,,,,,,,,,,,,
